file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00217_0114_974291_to_984274,སྒྲོལ་དཀར་འཇིག་རྟེན་འདི་རུ་ཡོད་ཀྱང་རུང་། ཕྱི་མའི་ལམ་དུ་སོང་ཡང་རུང་། མོ་ནི་ཁོ་ཚོའི་སེམས་ཁོངས་ནས་ནམ་ཡང་བསྐྱུར་ཐབས་མེད་པས་སངས་རྒྱས་སྟོང་སྐུའི་མདུན་དུ་མཆོད་མེ་སྟོང་མཆོད་ཅིག་འཕུལ།  ,sgrol dkar 'jig rten 'di ru yod kyang rung /_phyi ma'i lam du song yang rung /_mo ni kho tsho'i sems khongs nas nam yang bskyur thabs med pas sangs rgyas stong sku'i mdun du mchod me stong mchod cig 'phul/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00217_0114_974291_to_984274.wav,STT_AB,3,176,9.983,wav16k/STT_AB00217_0114_974291_to_984274.wav,སྒྲོལ་དཀར་འཇིག་རྟེན་འདི་རུ་ཡོད་ཀྱང་རུང་། ཕྱི་མའི་ལམ་དུ་སོང་ཡང་རུང་། མོ་ནི་ཁོ་ཚོའི་སེམས་ཁུངས་ནས་ནམ་ཡང་སྐྱོར་ཐབས་མེད་པས་སངས་རྒྱས་སྟོང་སྐུའི་མདུན་དུ་མཆོད་མེ་སྟོང་མཆོད་ཅིག་ཕུལ།
STT_AB00201_0192_813540_to_816476,རྒྱ་གར་གྱི་ཆོས་དང་མ་འབྲེལ་བའི་རྩ་ཁྲིམས་སྲོལ་གཏོད་བྱེད་པོ་ ,rgya gar gyi chos dang ma 'brel ba'i rtsa khrims srol gtod byed po _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00201_0192_813540_to_816476.wav,STT_AB,3,58,2.936,wav16k/STT_AB00201_0192_813540_to_816476.wav,རྒྱ་གར་གྱི་ཆོས་དང་མ་བྲལ་བའི་རྩ་ཁྲིམས་གསོལ་འཏོད་བྱེད་པོ་
STT_TT00714_0154_897426_to_902034,བཟང་ངན་གི་རྣམ་རྟོག་ག་རེ་སྐྱེས་སོང་ན་ཡང་། དགག་སྒྲུབ་མ་བྱས་པ་བྱས། དེའི་ངོ་བོ་ལ་ལམ་སང་ཅིག ,bzang ngan gi rnam rtog ga re skyes song na yang /_dgag sgrub ma byas pa byas/_de'i ngo bo la lam sang cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00714_0154_897426_to_902034.wav,STT_TT,3,87,4.608,wav16k/STT_TT00714_0154_897426_to_902034.wav,བཟང་ངན་གི་རྣམ་རྟོག་ག་རེ་སྐྱེས་སོང་ན་ཡང་། དགག་སྒྲུབ་མ་བྱས་པ་བྱས། དེའི་ངོ་བོ་ལ་ལམ་སང་ཅིག
STT_TT00714_0149_864530_to_868562,དེ་ལས་འདས་པའི། མཚན་ཉིད་དེ་དག་ལས་འདས་པའི་གི་མཚོན་བྱེད་དབང་ཅིག་ཐོབ་དགོས་ཀི་ཡོད་རེད།  ,de las 'das pa'i/_mtshan nyid de dag las 'das pa'i gi mtshon byed dbang cig thob dgos ki yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00714_0149_864530_to_868562.wav,STT_TT,3,83,4.032,wav16k/STT_TT00714_0149_864530_to_868562.wav,དེ་ལས་འདས་པའི་མཚན་ཉིད་དེ་དག་ལས་འདས་པའི་གི་མཚོན་བྱེའི་དབང་ཅིག་ཐོབ་དགོས་ཀི་ཡོད་རེད།
STT_AB00201_0216_932329_to_942226,དཀོན་མཆོག་དང་སྐྱེ་བ་ཕྱི་མ་སོགས་ཁས་མི་ལེན་པའི་རྒྱང་འཕེན་པའི་གྲུབ་མཐའི་རྗེས་འཇུག་པ་རྣམས་ཀྱིས་ཁུངས་གཏུགས་སའི་དཔྱད་གཞི་མང་དག་ཅིག་གནའ་བོའི་ལྟ་གྲུབ་ཀྱི་གཞུང་ལུགས་ནང་བཞུགས་ཡོད།  ,dkon mchog dang skye ba phyi ma sogs khas mi len pa'i rgyang 'phen pa'i grub mtha'i rjes 'jug pa rnams kyis khungs gtugs sa'i dpyad gzhi mang dag cig gna' bo'i lta grub kyi gzhung lugs nang bzhugs yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00201_0216_932329_to_942226.wav,STT_AB,3,171,9.897,wav16k/STT_AB00201_0216_932329_to_942226.wav,དཀོན་མཆོག་དང་སྐྱེ་བ་ཕྱི་མ་སོགས་ཁས་མི་ལེན་པའི་རྒྱང་ཕེབས་པའི་གྲུབ་མཐའི་རྗེས་འཇུག་པ་རྣམས་ཀྱིས། ཁུངས་གཏུགས་སའི་དཔྱད་གཞི་མང་དག་ཅིག་གནའ་བོའི་ལྟ་གྲུབ་ཀྱི་གཞུང་ལུགས་ནང་བཞུགས་ཡོད།
STT_AB00217_0118_1001083_to_1013319,སྔོན་དུ་འཆི་བའི་ཁ་རང་གི་དགྲ་ལ་ཡང་མ་མཐོང་བར་ཤོག་བུ་མོ་བསོད་སྐམ་མ་དེའི་ཤི་གསོན་ད་དུང་མི་རྟོགས་རུང་འཆི་ཡོད་ན་མགྱོགས་མྱུར་སྐྱེ་གནས་བཟང་བ་ཞིག་ཐོབ་པ་ཤོག་གལ་ཏེ་མི་ཡུལ་འདིར་གསོན་པོར་བསྡད་ཡོད་ན།  ,sngon du 'chi ba'i kha rang gi dgra la yang ma mthong bar shog bu mo bsod skam ma de'i shi gson da dung mi rtogs rung 'chi yod na mgyogs myur skye gnas bzang ba zhig thob pa shog gal te mi yul 'dir gson por bsdad yod na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00217_0118_1001083_to_1013319.wav,STT_AB,3,187,12.236,wav16k/STT_AB00217_0118_1001083_to_1013319.wav,སྔོན་དུ་ཆེ་བའི་ཁ་རང་གི་དགྲ་ལ་ཡང་མ་མཐོང་བར་ཤོག བུ་མོ་གསོད་དཀམ་མ་དེས་ཤི་གསོན་ད་དུང་མི་ལྟོགས་རུང་ཅི་ཡོད་ན་མགྱོགས་མྱུར་སྐྱེ་གནས་བཟང་བ་ཞིག་ལ་ཐོབ་པར་ཤོག གལ་ཏེ་མི་ཡུལ་འདིར་གསོན་པོར་བསྡད་ཡོད་ན།
STT_TT00714_0142_832824_to_836032,སེམས་ཉིད་བདེ་སྟོང་དུ་སྤྲོས་པ་དོན་གྱི་དབང་ཟེ། དབང་ལ་གསུམ་བཞག་འདུག་ག ,sems nyid bde stong du spros pa don gyi dbang ze/_dbang la gsum bzhag 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00714_0142_832824_to_836032.wav,STT_TT,3,67,3.208,wav16k/STT_TT00714_0142_832824_to_836032.wav,སེམས་ཉིད་བདེ་སྟོང་དུ་སྤྲོས་པ་དོན་གྱི་དབང་ཟེ། དབང་ལ་གསུམ་བཞག་འདུག་ག
STT_TT00714_0156_916349_to_918845,དེ་ནས་ངོ་བོ་རང་སོར་སུ་ཁྲོལ་བའི་དུས་ཤིག་ཡོང་གི་རེད་ཟེ།  ,de nas ngo bo rang sor su khrol ba'i dus shig yong gi red ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00714_0156_916349_to_918845.wav,STT_TT,3,55,2.496,wav16k/STT_TT00714_0156_916349_to_918845.wav,དེ་ནས་ངོ་བོ་རང་ཐོག་ཏུ་འཕྲོད་པའི་དུས་ཅིག་ཡོང་གི་རེད་ཟེ།
STT_TT00714_0147_852119_to_855861,བུམ་པའི། བུམ་པ་དང་དཀྱིལ་འཁོར་རྫས་ལ་བརྟེན་པའི་དབང་ཞེས་པ་དེ་དང་།  ,bum pa'i/_bum pa dang dkyil 'khor rdzas la brten pa'i dbang zhes pa de dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00714_0147_852119_to_855861.wav,STT_TT,3,64,3.742,wav16k/STT_TT00714_0147_852119_to_855861.wav,བུམ་པའི་བུམ་པ་དང་དཀྱིལ་འཁོར་གི་རྫས་ལ་བརྟེན་པའི་དབང་ཞེས་པ་དེ་དང་།
STT_AB00020_0054_278631_to_287760,བདེ་སྡུག་འགྱུར་བ་སྐད་ཅིག་སྐད་ཅིག། འཆི་བདག་སུན་མ་ཇེ་ཉེ་ཇེ་ཉེ། སྐྱིད་འདོད་ང་ལ་ཚེ་འདི་འདས་ན།  ,bde sdug 'gyur ba skad cig skad cig/_'chi bdag sun ma je nye je nye/_skyid 'dod nga la tshe 'di 'das na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00020_0054_278631_to_287760.wav,STT_AB,3,91,9.129,wav16k/STT_AB00020_0054_278631_to_287760.wav,བདེ་སྡུག་འགྱུར་བ་སྐད་ཅིག་སྐད་ཅིག། འཆི་བདག་བསུན་མ་ཇེ་ཉན་ཇེ་ཉན། སྐྱིད་འདོད་ངང་ལ་ཚེ་འདི་འདས་ན།
